Identifiant_Accident,Vitesse_Maximale_Autorisee,jour,mois,Annee,Luminosite,Departement,Commune,Agglomeration,Connition_Atmospheriques,adresse,Latitude,Longitude
201900000024,50,29,https://www.wikidata.org/wiki/Q118,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12743,91477,En aglomeration,Pluie legere,HENRI BARBUSSE (RUE),48.718894,2.26061
201900000048,50,29,https://www.wikidata.org/wiki/Q118,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12702,50129,En aglomeration,Normale,CALIGNY (QUAI DE),49.63988,-1.62137
201900000052,50,29,https://www.wikidata.org/wiki/Q118,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12690,38179,Hors aglomeration,Pluie forte,Avenue de la Combe,45.16888,5.79349
201900000082,80,22,https://www.wikidata.org/wiki/Q116,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12726,74145,Hors aglomeration,Normale,Route de la Fronti̬re,46.2154615,6.2770041
201900000122,50,19,https://www.wikidata.org/wiki/Q116,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12743,91687,En aglomeration,Normale,GENERAL DE GAULLE (AVENUE DU),48.6757,2.38553
201900000131,50,20,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12735,83118,En aglomeration,Normale,RUE WALDECK-ROUSSEAU,43.42329,6.769
201900000134,80,20,https://www.wikidata.org/wiki/Q116,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12729,77132,Hors aglomeration,Normale,D934 X D344,48.88102,2.78033
201900000137,50,20,https://www.wikidata.org/wiki/Q116,2019,Plein jour,https://www.wikidata.org/wiki/Q12726,74010,En aglomeration,Normale,RHONE (AVENUE DU),45.9005,6.11554
201900000154,50,15,https://www.wikidata.org/wiki/Q109,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12716,64160,En aglomeration,Normale,17 Avenue Edmond Rostand,43.3621955,-1.4035654
201900000155,30,16,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12725,73265,En aglomeration,Temps eblouissant,D211 Rte FROMAGERIE,45.7477384,5.9838736
201900000166,80,16,https://www.wikidata.org/wiki/Q109,2019,Plein jour,,07347,Hors aglomeration,Normale,le chambon,45.194001,4.537429
201900000176,80,15,https://www.wikidata.org/wiki/Q109,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12737,85090,Hors aglomeration,Normale,ZI de la Blauderie,46.81618,-0.869
201900000178,80,16,https://www.wikidata.org/wiki/Q109,2019,Crepuscule ou Aube,https://www.wikidata.org/wiki/Q12679,27055,Hors aglomeration,Temps eblouissant,intersection D 175 et D 61,49.114906,1.075041
201900000180,70,16,https://www.wikidata.org/wiki/Q109,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12680,28014,Hors aglomeration,Normale,lieu dit le printemps,48.64978,1.291489
201900000182,80,18,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12680,28137,Hors aglomeration,Normale,D32,48.551596,1.736133
201900000193,130,18,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12712,60030,Hors aglomeration,Normale,autoroute A16,49.330448,2.098035
201900000203,80,15,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12701,49050,Hors aglomeration,Normale,d 761,47.342249,-0.435337
201900000208,50,18,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12736,84087,Hors aglomeration,Temps eblouissant,bretelle de sortie d'Orange Sud en N/S,44.110048,4.840627
201900000209,90,18,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q12661,13037,Hors aglomeration,Normale,autoroute A8 PK 001+120 sud nord,43.55212,5.245727
201900000211,90,16,https://www.wikidata.org/wiki/Q109,2019,Plein jour,https://www.wikidata.org/wiki/Q33785,98821,Hors aglomeration,Pluie forte,"RT.1, sens SUD-NORD, PK 44+500",-22.05851,166.25079
201900000225,80,16,https://www.wikidata.org/wiki/Q109,2019,Nuit sans eclairage public,https://www.wikidata.org/wiki/Q12730,78503,Hors aglomeration,Normale,D915,49.054209,1.527207
201900000243,80,5,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12685,33357,Hors aglomeration,Normale,RD 222,44.530149,-0.257434
201900000251,50,11,https://www.wikidata.org/wiki/Q112,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12685,33042,En aglomeration,Normale,All̩e de la Briqueterie / All̩e des chevreuils sens Est - Ouest,44.49677,-0.77957
201900000264,80,24,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12702,50535,Hors aglomeration,Normale,Les Tribonni̬res (Sainte-Pience),48.756564,-1.313921
201900000272,110,14,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12681,29272,Hors aglomeration,Temps eblouissant,RN165 PK 44+500 Sens de circulation LORIENT-QUIMPER,47.9620662,-3.9636451
201900000285,80,20,https://www.wikidata.org/wiki/Q112,2019,Plein jour,https://www.wikidata.org/wiki/Q12687,35139,Hors aglomeration,Normale,les cours,48.001505,-1.715874
201900000311,80,14,https://www.wikidata.org/wiki/Q115,2019,Plein jour,https://www.wikidata.org/wiki/Q12719,67180,Hors aglomeration,Normale,RHIN (ROUTE DU),48.815,7.81726
201900000324,50,15,https://www.wikidata.org/wiki/Q115,2019,Plein jour,https://www.wikidata.org/wiki/Q12714,62826,En aglomeration,Normale,LEON GARET (RUE),50.52242,1.58355
201900000376,50,16,https://www.wikidata.org/wiki/Q115,2019,Plein jour,https://www.wikidata.org/wiki/Q12686,34301,Hors aglomeration,Normale,RD2 Route de Balaruc,43.41544,3.70368
201900000470,50,23,https://www.wikidata.org/wiki/Q117,2019,Nuit avec eclairage public allume,https://www.wikidata.org/wiki/Q12661,13002,En aglomeration,Pluie forte,SALVATORE ALLENDE (BOULEVARD),43.353386,5.484046
201900000524,80,25,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12691,39326,Hors aglomeration,Normale,,46.592918,5.675996
201900000535,80,25,https://www.wikidata.org/wiki/Q117,2019,Plein jour,https://www.wikidata.org/wiki/Q12702,50297,Hors aglomeration,Normale,La Germainerie,49.184047,-1.097235
